epoch;h_accuracy;h_loss;loss;m_accuracy;m_loss;val_h_accuracy;val_h_loss;val_loss;val_m_accuracy;val_m_loss
0;0.08958332985639572;2.4858829975128174;6.582490921020508;0.01571180485188961;4.0966081619262695;0.08576388657093048;2.4848906993865967;6.5790934562683105;0.02361111156642437;4.094203472137451
1;0.12612846493721008;2.40089750289917;6.47126579284668;0.02022569440305233;4.070366859436035;0.17673611640930176;2.2247354984283447;6.210762977600098;0.03576388955116272;3.9860270023345947
2;0.23428820073604584;1.971922516822815;5.876960754394531;0.03055555559694767;3.905039072036743;0.31736111640930176;1.6685583591461182;5.416607856750488;0.04479166492819786;3.7480483055114746
3;0.3756076395511627;1.541154146194458;5.206881523132324;0.04826388880610466;3.665726661682129;0.47013887763023376;1.3166948556900024;4.790958404541016;0.07048611342906952;3.474264621734619
4;0.49574652314186096;1.250853180885315;4.678714752197266;0.0672743022441864;3.4278602600097656;0.5847222208976746;1.081342339515686;4.299010753631592;0.10138888657093048;3.2176690101623535
5;0.5920138955116272;1.025693655014038;4.20512056350708;0.09565972536802292;3.1794259548187256;0.7243055701255798;0.773587703704834;3.7157785892486572;0.12222222238779068;2.9421908855438232
6;0.6550347208976746;0.8762731552124023;3.8048346042633057;0.11354167014360428;2.9285614490509033;0.7392361164093018;0.6777288913726807;3.313913583755493;0.18194444477558136;2.636185646057129
7;0.703125;0.7466900944709778;3.471013307571411;0.14861111342906952;2.7243244647979736;0.8166666626930237;0.5341090559959412;3.0363121032714844;0.18437500298023224;2.502203941345215
8;0.7411458492279053;0.6585420966148376;3.2284393310546875;0.15815971791744232;2.5698981285095215;0.8357638716697693;0.47430872917175293;2.7978782653808594;0.2309027761220932;2.3235700130462646
9;0.7777777910232544;0.5820982456207275;3.031456470489502;0.17508681118488312;2.449357748031616;0.8663194179534912;0.41819626092910767;2.65055251121521;0.24340277910232544;2.232356309890747
10;0.8043403029441833;0.5203859806060791;2.872018337249756;0.19236111640930176;2.351632833480835;0.8968750238418579;0.367326021194458;2.538052797317505;0.2569444477558136;2.170727014541626
11;0.824131965637207;0.4686775207519531;2.756359577178955;0.20147569477558136;2.2876813411712646;0.8909721970558167;0.3348231017589569;2.451474905014038;0.2586805522441864;2.116652488708496
12;0.8309895992279053;0.440336138010025;2.6570513248443604;0.2178819477558136;2.2167129516601562;0.918749988079071;0.2573184072971344;2.2370266914367676;0.2840277850627899;1.9797078371047974
13;0.8450520634651184;0.4140813648700714;2.5756850242614746;0.22560763359069824;2.1616039276123047;0.918055534362793;0.258475661277771;2.170161247253418;0.3184027671813965;1.9116860628128052
14;0.8596354126930237;0.3744882047176361;2.4812426567077637;0.24123263359069824;2.106754779815674;0.9538194537162781;0.1850401759147644;2.046579599380493;0.3350694477558136;1.8615400791168213
15;0.8634548783302307;0.36537379026412964;2.4375267028808594;0.25399306416511536;2.0721542835235596;0.9465277791023254;0.19150342047214508;1.995369791984558;0.37187498807907104;1.8038666248321533
16;0.8839409947395325;0.31383517384529114;2.325453281402588;0.2640624940395355;2.0116209983825684;0.9309027791023254;0.2062109410762787;2.070168972015381;0.30763888359069824;1.8639575242996216
17;0.8875868320465088;0.2967095673084259;2.277846336364746;0.2710937559604645;1.9811369180679321;0.9552083611488342;0.15996600687503815;1.8631539344787598;0.40416666865348816;1.7031880617141724
18;0.8918402791023254;0.2946963310241699;2.2390005588531494;0.2821180522441864;1.9443037509918213;0.965624988079071;0.12254203110933304;1.7984445095062256;0.390625;1.6759026050567627
19;0.9046875238418579;0.2640506625175476;2.1594250202178955;0.29435762763023376;1.8953750133514404;0.9451388716697693;0.16629859805107117;1.840971827507019;0.40069442987442017;1.674673318862915
20;0.8993923664093018;0.26097118854522705;2.1411383152008057;0.3031249940395355;1.8801662921905518;0.9739583134651184;0.1003512591123581;1.6912661790847778;0.42395833134651184;1.5909150838851929
21;0.9059895873069763;0.25086405873298645;2.115020513534546;0.30651041865348816;1.8641564846038818;0.9732638597488403;0.09940007328987122;1.6910107135772705;0.4184027910232544;1.5916106700897217
22;0.9071180820465088;0.24299761652946472;2.0740418434143066;0.31909722089767456;1.831044316291809;0.9788194298744202;0.09044656902551651;1.6587917804718018;0.4281249940395355;1.568345308303833
23;0.918055534362793;0.22538581490516663;2.016845941543579;0.3197048604488373;1.7914612293243408;0.9836805462837219;0.07791681587696075;1.5786594152450562;0.4590277671813965;1.5007425546646118
24;0.9140625;0.2197626382112503;2.0033750534057617;0.3227430582046509;1.783612608909607;0.9677083492279053;0.11022526770830154;1.6294656991958618;0.45520833134651184;1.5192397832870483
25;0.921875;0.21035225689411163;1.9517749547958374;0.34322917461395264;1.7414228916168213;0.9829860925674438;0.06801702082157135;1.5643202066421509;0.4399305582046509;1.4963033199310303
26;0.9239583611488342;0.212496817111969;1.9440391063690186;0.35121527314186096;1.7315423488616943;0.9479166865348816;0.14630602300167084;1.7570185661315918;0.4034722149372101;1.6107121706008911
27;0.9241319298744202;0.20030713081359863;1.9200122356414795;0.35164931416511536;1.7197057008743286;0.9795138835906982;0.08053150773048401;1.5009320974349976;0.4784722328186035;1.4204005002975464
28;0.9332465529441833;0.18654422461986542;1.8717727661132812;0.3644097149372101;1.685227632522583;0.9774305820465088;0.07396235316991806;1.4497319459915161;0.5062500238418579;1.3757694959640503
29;0.9323784708976746;0.18213456869125366;1.8492765426635742;0.37204861640930176;1.667142391204834;0.9885416626930237;0.058148834854364395;1.401655912399292;0.5309028029441833;1.3435072898864746
